id,user_id,protocol,start_timestep,last_timestep,total_time,wifi_duration,privacy_score
pedestrian_1-1-pt_2880_W_3S33Z,pedestrian_1-1-pt_2880,WiFi,23198.0,23459.0,262.0,5898.0,0.04442183791115632
pedestrian_1-1-pt_2920_W_KXKX1,pedestrian_1-1-pt_2920,WiFi,23266.0,23394.0,129.0,6124.0,0.02106466361854997
pedestrian_1-1-pt_2952_W_QC1IY,pedestrian_1-1-pt_2952,WiFi,20247.0,20445.0,199.0,5567.0,0.03574636249326388
pedestrian_1-1-pt_2961_W_3G6DX,pedestrian_1-1-pt_2961,WiFi,23848.0,24032.0,185.0,6086.0,0.030397633913900757
pedestrian_1-1-pt_297_W_S8CME,pedestrian_1-1-pt_297,WiFi,22871.0,23031.0,161.0,6055.0,0.026589595375722544
pedestrian_1-1-pt_3067_W_E2GWE,pedestrian_1-1-pt_3067,WiFi,22710.0,22901.0,192.0,5913.0,0.032470826991374935
pedestrian_1-1-pt_3097_W_RWRXO,pedestrian_1-1-pt_3097,WiFi,23858.0,24054.0,197.0,6173.0,0.0319131702575733
pedestrian_1-1-pt_3176_W_1ON3N,pedestrian_1-1-pt_3176,WiFi,22081.0,22325.0,245.0,5712.0,0.0428921568627451
pedestrian_1-1-pt_3207_W_AVNQ4,pedestrian_1-1-pt_3207,WiFi,22548.0,22779.0,232.0,5882.0,0.03944236654199252
pedestrian_1-1-pt_3230_W_EO45N,pedestrian_1-1-pt_3230,WiFi,20938.0,21079.0,142.0,5943.0,0.023893656402490325
pedestrian_1-1-pt_3275_W_JDWWJ,pedestrian_1-1-pt_3275,WiFi,21423.0,21589.0,167.0,6470.0,0.02581143740340031
pedestrian_1-1-pt_3353_W_S8MUQ,pedestrian_1-1-pt_3353,WiFi,21478.0,21631.0,154.0,5621.0,0.0273972602739726
pedestrian_1-1-pt_3386_W_705LY,pedestrian_1-1-pt_3386,WiFi,22697.0,22913.0,217.0,5632.0,0.038529829545454544
pedestrian_1-1-pt_3409_W_Y3X17,pedestrian_1-1-pt_3409,WiFi,23097.0,23338.0,242.0,5743.0,0.04213825526728191
pedestrian_1-1-pt_3489_W_34BXP,pedestrian_1-1-pt_3489,WiFi,24167.0,24465.0,299.0,6495.0,0.04603541185527329
pedestrian_1-1-pt_3512_W_N24WZ,pedestrian_1-1-pt_3512,WiFi,22285.0,22500.0,216.0,5421.0,0.03984504703929164
pedestrian_1-1-pt_3571_W_ZVXY0,pedestrian_1-1-pt_3571,WiFi,24964.0,25200.0,237.0,5912.0,0.04008795669824087
pedestrian_1-1-pt_3595_W_AECJI,pedestrian_1-1-pt_3595,WiFi,23290.0,23465.0,176.0,5921.0,0.029724708664077015
pedestrian_1-1-pt_3624_W_FIOXT,pedestrian_1-1-pt_3624,WiFi,22288.0,22610.0,323.0,5861.0,0.05511004947961099
pedestrian_1-1-pt_3629_W_2B5PM,pedestrian_1-1-pt_3629,WiFi,22486.0,22667.0,182.0,7078.0,0.025713478383724217
pedestrian_1-1-pt_3671_W_1R3A4,pedestrian_1-1-pt_3671,WiFi,23665.0,23826.0,162.0,6243.0,0.025949062950504566
pedestrian_1-1-pt_3769_W_90Y0O,pedestrian_1-1-pt_3769,WiFi,19103.0,19391.0,289.0,6686.0,0.04322464851929405
pedestrian_1-1-pt_3800_W_XOGL4,pedestrian_1-1-pt_3800,WiFi,23278.0,23411.0,134.0,5474.0,0.024479356960175374
pedestrian_1-1-pt_3858_W_6QWSL,pedestrian_1-1-pt_3858,WiFi,24056.0,24234.0,179.0,6728.0,0.02660523186682521
pedestrian_1-1-pt_3916_W_YX8D9,pedestrian_1-1-pt_3916,WiFi,21971.0,22102.0,132.0,5504.0,0.023982558139534885
pedestrian_1-1-pt_3927_W_6NKNX,pedestrian_1-1-pt_3927,WiFi,20680.0,20919.0,240.0,6679.0,0.03593352298248241
pedestrian_1-1-pt_3931_W_C6YM6,pedestrian_1-1-pt_3931,WiFi,24979.0,25200.0,222.0,5378.0,0.04127928597991819
pedestrian_1-1-pt_394_W_P7M87,pedestrian_1-1-pt_394,WiFi,22075.0,22207.0,133.0,5831.0,0.022809123649459785
